gene_ID,Name,moduleColor,MM,Mycobrowser Functional Category,GO-SLIM: biological_process,GO-SLIM: molecular_function
gene:Rv2892c,PPE45,darkturquoise,0.820873954,PE/PPE,NA,NA
gene:Rv2893,Rv2893,red,0.584627155,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv2894c,xerC,lightyellow,0.813979522,insertion seqs and phages,"DNA recombination, chromosome segregation","DNA binding, catalytic activity, acting on DNA"
gene:Rv2895c,viuB,turquoise,0.07284025,intermediary metabolism and respiration,NA,NA
gene:Rv2896c,Rv2896c,turquoise,0.455273878,conserved hypotheticals,NA,NA
gene:Rv2897c,Rv2897c,brown,0.669158567,conserved hypotheticals,NA,NA
gene:Rv2898c,Rv2898c,pink,0.810555347,conserved hypotheticals,NA,NA
gene:Rv2899c,fdhD,blue,0.550922847,intermediary metabolism and respiration,NA,"transferase activity, molecular carrier activity"
gene:Rv2900c,fdhF,brown,0.664551378,intermediary metabolism and respiration,NA,NA
gene:Rv2901c,Rv2901c,blue,0.61192356,conserved hypotheticals,NA,NA
gene:Rv2902c,rnhB,tan,0.787904888,information pathways,"DNA replication, DNA repair","catalytic activity, acting on RNA, hydrolase activity, RNA binding"
gene:Rv2903c,lepB,tan,0.761337121,cell wall and cell processes,protein maturation,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv2904c,rplS,brown,0.51867085,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv2905,lppW,pink,0.679983427,cell wall and cell processes,NA,NA
gene:Rv2906c,trmD,skyblue,0.843737329,information pathways,tRNA metabolic process,"tRNA metabolic process, catalytic activity, acting on RNA, transferase activity"
gene:Rv2907c,rimM,blue,0.782026237,information pathways,ribosome biogenesis,NA
gene:Rv2908c,Rv2908c,blue,0.816995981,conserved hypotheticals,NA,NA
gene:Rv2909c,rpsP,tan,0.815666206,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv2910c,Rv2910c,turquoise,-0.104687842,conserved hypotheticals,NA,NA
gene:Rv2911,dacB2,brown,0.744771727,cell wall and cell processes,"cell wall organization or biogenesis, carbohydrate derivative metabolic process","catalytic activity, acting on a protein, hydrolase activity"
gene:Rv2912c,Rv2912c,green,0.854121165,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv2913c,Rv2913c,green,0.879299899,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv2914c,pknI,blue,0.426630347,regulatory proteins,protein modification process,"catalytic activity, acting on a protein, transferase activity"
gene:Rv2915c,Rv2915c,orangered4,0.825671739,conserved hypotheticals,NA,hydrolase activity
gene:Rv2916c,ffh,red,0.219476244,cell wall and cell processes,intracellular protein transport,"RNA binding, GTPase activity"
gene:Rv2917,Rv2917,paleturquoise,0.608046454,conserved hypotheticals,NA,"DNA binding, hydrolase activity"
gene:Rv2918c,glnD,turquoise,0.138607925,intermediary metabolism and respiration,NA,"catalytic activity, acting on a protein, transferase activity, hydrolase activity"
gene:Rv2919c,glnB,darkmagenta,0.785538756,regulatory proteins,NA,molecular function regulator
gene:Rv2920c,amt,lightgreen,0.736532721,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv2921c,ftsY,magenta,0.677048487,cell wall and cell processes,intracellular protein transport,GTPase activity
gene:Rv2922c,smc,magenta,0.72547309,cell wall and cell processes,"chromosome segregation, DNA replication","hydrolase activity, DNA binding"
gene:Rv2922A,acyP,black,0.497003975,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv2923c,Rv2923c,midnightblue,0.339237302,conserved hypotheticals,NA,NA
gene:Rv2924c,fpg,darkorange,0.73391854,information pathways,NA,NA
gene:Rv2925c,rnc,lightcyan1,0.838968882,information pathways,"ribosome biogenesis, mRNA metabolic process, tRNA metabolic process","catalytic activity, acting on RNA, hydrolase activity, RNA binding"
gene:Rv2926c,Rv2926c,darkolivegreen,0.824514815,conserved hypotheticals,NA,NA
gene:Rv2927c,Rv2927c,lightyellow,0.870235389,conserved hypotheticals,NA,NA
gene:Rv2928,tesA,magenta,0.620594192,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process",hydrolase activity
gene:Rv2929,Rv2929,tan,0.881842512,conserved hypotheticals,NA,NA
gene:Rv2930,fadD26,turquoise,0.186796984,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, ligase activity"
gene:Rv2931,ppsA,turquoise,-0.157115957,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, oxidoreductase activity, lipid metabolic process, molecular carrier activity"
gene:Rv2932,ppsB,brown,0.786688254,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, oxidoreductase activity"
gene:Rv2933,ppsC,brown,0.810244307,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, oxidoreductase activity"
gene:Rv2934,ppsD,brown,0.832300477,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, oxidoreductase activity"
gene:Rv2935,ppsE,magenta,0.777923418,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, oxidoreductase activity"
gene:Rv2936,drrA,magenta,0.874941413,cell wall and cell processes,transmembrane transport,NA
gene:Rv2937,drrB,tan,0.873409383,cell wall and cell processes,"cell wall organization or biogenesis, lipid metabolic process, transmembrane transport",NA
gene:Rv2938,drrC,tan,0.850387314,cell wall and cell processes,transmembrane transport,NA
gene:Rv2939,papA5,pink,0.58546517,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process",transferase activity
gene:Rv2940c,mas,brown,0.586858481,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, oxidoreductase activity"
gene:Rv2941,fadD28,blue,0.42274669,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, ligase activity"
gene:Rv2942,mmpL7,magenta,0.915223041,cell wall and cell processes,"transmembrane transport, cell wall organization or biogenesis, lipid metabolic process","transmembrane transport, transporter activity"
gene:Rv2943,Rv2943,brown,0.693478637,insertion seqs and phages,NA,NA
gene:Rv2943A,Rv2943A,pink,0.467926456,insertion seqs and phages,DNA replication,NA
gene:Rv2944,Rv2944,midnightblue,0.582359745,insertion seqs and phages,DNA replication,NA
gene:Rv2945c,lppX,pink,0.766487471,cell wall and cell processes,cell wall organization or biogenesis,transporter activity
gene:Rv2946c,pks1,brown,0.91829594,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, oxidoreductase activity"
gene:Rv2947c,pks15,lightsteelblue1,0.834494598,lipid metabolism,"carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv2948c,fadD22,pink,0.788847794,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process, carbohydrate derivative metabolic process",ligase activity
gene:Rv2949c,Rv2949c,lightsteelblue1,0.886037714,intermediary metabolism and respiration,cell wall organization or biogenesis,lyase activity
gene:Rv2950c,fadD29,brown,0.739136684,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","transferase activity, ligase activity"
gene:Rv2951c,Rv2951c,midnightblue,0.90612102,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv2952,Rv2952,sienna3,0.873182132,intermediary metabolism and respiration,"cell wall organization or biogenesis, lipid metabolic process",transferase activity
gene:Rv2953,Rv2953,blue,0.88318124,lipid metabolism,"cell wall organization or biogenesis, carbohydrate derivative metabolic process, lipid metabolic process",oxidoreductase activity
gene:Rv2954c,Rv2954c,blue,0.761592171,conserved hypotheticals,NA,transferase activity
gene:Rv2955c,Rv2955c,plum1,0.581413861,conserved hypotheticals,NA,transferase activity
gene:Rv2956,Rv2956,magenta,0.718435535,conserved hypotheticals,NA,transferase activity
gene:Rv2957,Rv2957,tan,0.779656072,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv2958c,Rv2958c,skyblue,0.83864012,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv2959c,Rv2959c,thistle2,0.783261273,intermediary metabolism and respiration,"cell wall organization or biogenesis, carbohydrate derivative metabolic process, sulfur compound metabolic process, lipid metabolic process",transferase activity
gene:Rv2960c,Rv2960c,magenta,0.411504331,conserved hypotheticals,NA,NA
gene:Rv2961,Rv2961,purple,0.858154967,insertion seqs and phages,DNA recombination,"catalytic activity, acting on DNA, DNA binding"
gene:Rv2962c,Rv2962c,green,0.660135027,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv2963,Rv2963,green,0.884197867,cell wall and cell processes,NA,NA
gene:Rv2964,purU,darkolivegreen,0.862324463,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process","hydrolase activity, transferase activity"
gene:Rv2965c,kdtB,pink,0.871664683,cell wall and cell processes,NA,NA
gene:Rv2966c,Rv2966c,pink,0.732186636,intermediary metabolism and respiration,ribosome biogenesis,transferase activity
gene:Rv2967c,pca,pink,0.743599262,intermediary metabolism and respiration,carbohydrate metabolic process,ligase activity
gene:Rv2968c,Rv2968c,blue,0.489497932,cell wall and cell processes,NA,oxidoreductase activity
gene:Rv2969c,Rv2969c,blue,0.581646035,cell wall and cell processes,NA,NA
gene:Rv2970c,lipN,magenta,0.680588038,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv2970A,Rv2970A,salmon,0.555650842,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv2971,Rv2971,tan,0.599058216,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv2972c,Rv2972c,sienna3,0.801196449,cell wall and cell processes,NA,NA
gene:Rv2973c,recG,magenta,0.744035053,information pathways,"DNA repair, DNA recombination","catalytic activity, acting on DNA, DNA binding, hydrolase activity"
gene:Rv2974c,Rv2974c,brown,0.758893609,conserved hypotheticals,carbohydrate metabolic process,transferase activity
gene:Rv2975c,Rv2975c,lightyellow,0.637066004,conserved hypotheticals,carbohydrate metabolic process,transferase activity
gene:Rv2976c,ung,lightsteelblue1,0.692668298,information pathways,DNA repair,"catalytic activity, acting on DNA, hydrolase activity"
gene:Rv2977c,thiL,brown,0.739812004,intermediary metabolism and respiration,"sulfur compound metabolic process, vitamin metabolic process",transferase activity
gene:Rv2978c,Rv2978c,brown,0.564963242,insertion seqs and phages,DNA recombination,DNA binding
gene:Rv2979c,Rv2979c,magenta,0.479159681,insertion seqs and phages,DNA recombination,"DNA binding, DNA recombination, catalytic activity, acting on DNA"
gene:Rv2980,Rv2980,brown,0.779177946,cell wall and cell processes,NA,NA
gene:Rv2981c,ddlA,brown,0.934449356,cell wall and cell processes,NA,NA
gene:Rv2982c,gpdA2,brown,0.876817696,lipid metabolism,NA,NA
gene:Rv2983,Rv2983,lightyellow,0.666513237,conserved hypotheticals,NA,NA
gene:Rv2984,ppk1,midnightblue,0.734132563,intermediary metabolism and respiration,NA,transferase activity
gene:Rv2985,mutT1,midnightblue,0.795875323,information pathways,"DNA replication, DNA repair",hydrolase activity
gene:Rv2986c,hupB,pink,0.610728085,information pathways,NA,NA
gene:Rv2987c,leuD,saddlebrown,0.795899389,intermediary metabolism and respiration,cellular amino acid metabolic process,lyase activity
gene:Rv2988c,leuC,saddlebrown,0.795227774,intermediary metabolism and respiration,cellular amino acid metabolic process,lyase activity
gene:Rv2989,Rv2989,brown,0.441067292,regulatory proteins,"regulation of transcription, DNA-templated","DNA binding, regulation of transcription, DNA-templated"
gene:Rv2990c,Rv2990c,magenta,0.441403732,conserved hypotheticals,NA,NA
gene:Rv2991,Rv2991,lightcyan,0.396840389,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv2992c,gltS,tan,0.928970001,information pathways,NA,NA
gene:Rv2993c,Rv2993c,tan,0.91777558,intermediary metabolism and respiration,NA,"hydrolase activity, isomerase activity"
gene:Rv2994,Rv2994,lightsteelblue1,0.814988643,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv2995c,leuB,brown,0.406357195,intermediary metabolism and respiration,cellular amino acid metabolic process,oxidoreductase activity
gene:Rv2996c,serA1,brown,0.752942153,intermediary metabolism and respiration,NA,NA
gene:Rv2997,Rv2997,brown,0.640841196,intermediary metabolism and respiration,NA,NA
gene:Rv2998,Rv2998,blue,0.356330132,conserved hypotheticals,NA,NA
gene:Rv2998A,Rv2998A,yellowgreen,0.45095261,conserved hypotheticals,"signaling, intracellular","protein modification process, signaling, small molecule sensor activity, catalytic activity, acting on a protein, transferase activity"
gene:Rv2999,lppY,sienna3,0.770989033,cell wall and cell processes,NA,NA
gene:Rv3000,Rv3000,sienna3,0.795822509,cell wall and cell processes,metal ion homeostasis,NA
gene:Rv3001c,ilvC,midnightblue,0.547613069,intermediary metabolism and respiration,cellular amino acid metabolic process,oxidoreductase activity
gene:Rv3002c,ilvN,brown,0.357887968,intermediary metabolism and respiration,NA,NA
gene:Rv3003c,ilvB1,turquoise,-0.30409656,intermediary metabolism and respiration,cellular amino acid metabolic process,transferase activity
gene:Rv3004,cfp6,black,0.511736245,cell wall and cell processes,NA,NA
gene:Rv3005c,Rv3005c,pink,0.734968195,conserved hypotheticals,NA,NA
gene:Rv3006,lppZ,darkgrey,0.598511745,cell wall and cell processes,NA,NA
gene:Rv3007c,Rv3007c,lightgreen,0.948970854,intermediary metabolism and respiration,nucleobase-containing small molecule metabolic process,oxidoreductase activity
gene:Rv3008,Rv3008,red,0.628564746,conserved hypotheticals,NA,NA
gene:Rv3009c,gatB,magenta,0.334190149,information pathways,"cellular amino acid metabolic process, tRNA metabolic process","catalytic activity, acting on RNA, ligase activity"
gene:Rv3010c,pfkA,darkolivegreen,0.893194616,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, carbohydrate metabolic process","carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, carbohydrate metabolic process, transferase activity"
gene:Rv3011c,gatA,brown,0.414220767,information pathways,NA,"catalytic activity, acting on RNA, ligase activity"
gene:Rv3012c,gatC,turquoise,-0.314922699,information pathways,"cellular amino acid metabolic process, tRNA metabolic process","catalytic activity, acting on RNA, ligase activity"
gene:Rv3013,Rv3013,darkorange,0.739185596,conserved hypotheticals,NA,NA
gene:Rv3014c,ligA,lightcyan,0.541113524,information pathways,"DNA repair, DNA replication","catalytic activity, acting on DNA, ligase activity"
gene:Rv3015c,Rv3015c,brown,0.396163625,conserved hypotheticals,"sulfur compound metabolic process, cellular amino acid metabolic process",transferase activity
gene:Rv3016,lpqA,green,0.719067504,cell wall and cell processes,NA,NA
gene:Rv3017c,esxQ,red,0.819502364,cell wall and cell processes,NA,NA
gene:Rv3018c,PPE46,green,0.69366801,PE/PPE,NA,NA
gene:Rv3018A,PE27A,green,0.616854145,PE/PPE,NA,NA
gene:Rv3019c,esxR,green,0.791516216,cell wall and cell processes,NA,NA
gene:Rv3020c,esxS,green,0.694094378,cell wall and cell processes,NA,NA
gene:Rv3022A,PE29,green,0.780357138,PE/PPE,NA,NA
gene:Rv3023c,Rv3023c,lightcyan,0.240668743,insertion seqs and phages,NA,NA
gene:Rv3024c,trmU,magenta,0.583413352,information pathways,NA,NA
gene:Rv3025c,iscS,darkgrey,0.738284035,intermediary metabolism and respiration,sulfur compound metabolic process,transferase activity
gene:Rv3026c,Rv3026c,brown,0.554234845,conserved hypotheticals,lipid metabolic process,transferase activity
gene:Rv3027c,Rv3027c,brown,0.447453094,intermediary metabolism and respiration,NA,transferase activity
gene:Rv3028c,fixB,magenta,0.871895971,intermediary metabolism and respiration,NA,NA
gene:Rv3029c,fixA,magenta,0.893892602,intermediary metabolism and respiration,NA,NA
gene:Rv3030,Rv3030,magenta,0.610211041,conserved hypotheticals,NA,transferase activity
gene:Rv3031,Rv3031,magenta,0.835200675,conserved hypotheticals,carbohydrate metabolic process,transferase activity
gene:Rv3032,Rv3032,magenta,0.88664845,intermediary metabolism and respiration,"generation of precursor metabolites and energy, carbohydrate metabolic process, carbohydrate derivative metabolic process, lipid metabolic process",transferase activity
gene:Rv3032A,Rv3032A,blue,0.625962562,conserved hypotheticals,NA,NA
gene:Rv3033,Rv3033,darkgreen,0.781200331,conserved hypotheticals,NA,NA
gene:Rv3034c,Rv3034c,palevioletred3,0.732333437,intermediary metabolism and respiration,NA,transferase activity
gene:Rv3035,Rv3035,darkgrey,0.756697405,conserved hypotheticals,NA,NA
gene:Rv3036c,TB22.2,turquoise,0.77875963,cell wall and cell processes,lipid metabolic process,hydrolase activity
gene:Rv3037c,Rv3037c,brown,0.623061725,conserved hypotheticals,NA,transferase activity
gene:Rv3038c,Rv3038c,grey60,0.579924015,conserved hypotheticals,NA,transferase activity
gene:Rv3039c,echA17,pink,0.672771278,lipid metabolism,lipid metabolic process,lyase activity
gene:Rv3040c,Rv3040c,pink,0.672012527,conserved hypotheticals,NA,hydrolase activity
gene:Rv3041c,Rv3041c,pink,0.78033703,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv3042c,serB2,blue,0.85416642,intermediary metabolism and respiration,"cellular amino acid metabolic process, protein modification process","catalytic activity, acting on a protein, hydrolase activity"
gene:Rv3043c,ctaD,blue,0.565273546,intermediary metabolism and respiration,"transmembrane transport, generation of precursor metabolites and energy","transmembrane transport, generation of precursor metabolites and energy, oxidoreductase activity, transporter activity"
gene:Rv3044,fecB,darkorange,0.900333784,cell wall and cell processes,NA,NA
gene:Rv3045,adhC,magenta,0.586005478,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv3046c,Rv3046c,lightgreen,0.836406748,conserved hypotheticals,NA,NA
gene:Rv3047c,Rv3047c,red,0.838732927,conserved hypotheticals,NA,NA
gene:Rv3048c,nrdF2,turquoise,0.811414702,information pathways,"DNA replication, carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process",oxidoreductase activity
gene:Rv3049c,Rv3049c,grey60,0.734631181,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv3050c,Rv3050c,thistle1,0.774347214,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv3051c,nrdE,thistle1,0.892392722,information pathways,"DNA replication, carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process",oxidoreductase activity
gene:Rv3052c,nrdI,lightgreen,0.766446443,information pathways,protein modification process,NA
gene:Rv3053c,nrdH,lightgreen,0.752797337,information pathways,generation of precursor metabolites and energy,"generation of precursor metabolites and energy, oxidoreductase activity, catalytic activity, acting on a protein"
gene:Rv3054c,Rv3054c,green,0.874728119,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv3055,Rv3055,turquoise,0.405607724,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv3056,dinP,black,0.175837556,information pathways,NA,NA
gene:Rv3057c,Rv3057c,darkgreen,0.75519021,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv3058c,Rv3058c,skyblue3,0.653250901,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv3059,cyp136,darkgreen,0.744907198,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv3060c,Rv3060c,royalblue,0.793407465,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv3061c,fadE22,royalblue,0.787811045,lipid metabolism,NA,oxidoreductase activity
gene:Rv3062,ligB,red,0.884170756,information pathways,"DNA repair, DNA recombination, DNA replication","catalytic activity, acting on DNA, ligase activity, DNA binding"
gene:Rv3063,cstA,greenyellow,0.538553414,"virulence, detoxification, adaptation",NA,NA
gene:Rv3064c,Rv3064c,darkslateblue,0.823817077,cell wall and cell processes,NA,NA
gene:Rv3065,mmr,turquoise,0.648820774,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv3066,Rv3066,turquoise,0.699195867,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv3067,Rv3067,darkslateblue,0.788137859,conserved hypotheticals,NA,NA
gene:Rv3068c,pgmA,lightyellow,0.588775637,intermediary metabolism and respiration,carbohydrate metabolic process,isomerase activity
gene:Rv3069,Rv3069,yellow,0.567921428,cell wall and cell processes,NA,NA
gene:Rv3070,Rv3070,palevioletred3,0.569462598,cell wall and cell processes,NA,NA
gene:Rv3071,Rv3071,greenyellow,0.549645113,conserved hypotheticals,NA,NA
gene:Rv3072c,Rv3072c,blue,0.349646418,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv3073c,Rv3073c,turquoise,0.404937223,conserved hypotheticals,NA,NA
gene:Rv3074,Rv3074,brown,0.351362672,conserved hypotheticals,NA,NA
gene:Rv3075c,Rv3075c,midnightblue,0.612591861,conserved hypotheticals,NA,NA
gene:Rv3076,Rv3076,blue,0.638107568,conserved hypotheticals,NA,NA
gene:Rv3077,Rv3077,black,0.619927761,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv3078,hab,blue,0.837108037,intermediary metabolism and respiration,NA,NA
gene:Rv3079c,Rv3079c,lightgreen,0.873040633,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv3080c,pknK,brown4,0.681455107,regulatory proteins,"protein modification process, regulation of transcription, DNA-templated","catalytic activity, acting on a protein, transferase activity"
gene:Rv3081,Rv3081,red,0.834001297,conserved hypotheticals,NA,NA
gene:Rv3082c,virS,green,0.90159558,"virulence, detoxification, adaptation","regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv3083,Rv3083,turquoise,0.421244787,intermediary metabolism and respiration,NA,NA
gene:Rv3084,lipR,turquoise,0.398410881,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv3085,Rv3085,turquoise,0.398463684,intermediary metabolism and respiration,NA,NA
gene:Rv3086,adhD,violet,0.785533203,intermediary metabolism and respiration,detoxification,oxidoreductase activity
gene:Rv3087,Rv3087,violet,0.820987111,lipid metabolism,"lipid metabolic process, carbohydrate metabolic process",transferase activity
gene:Rv3088,tgs4,violet,0.85567986,lipid metabolism,"lipid metabolic process, carbohydrate metabolic process",transferase activity
gene:Rv3089,fadD13,violet,0.792363791,lipid metabolism,lipid metabolic process,"transferase activity, ligase activity, lipid metabolic process"
gene:Rv3090,Rv3090,lightyellow,0.607322067,conserved hypotheticals,NA,NA
gene:Rv3091,Rv3091,turquoise,0.118895433,conserved hypotheticals,lipid metabolic process,hydrolase activity
gene:Rv3092c,Rv3092c,turquoise,0.422317915,cell wall and cell processes,NA,NA
gene:Rv3093c,Rv3093c,turquoise,0.203268822,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv3094c,Rv3094c,turquoise,0.205599615,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv3095,Rv3095,yellow,0.462813345,regulatory proteins,NA,DNA binding
gene:Rv3096,Rv3096,yellowgreen,0.73164179,conserved hypotheticals,NA,NA
gene:Rv3097c,lipY,yellow,0.652759661,PE/PPE,lipid metabolic process,hydrolase activity
gene:Rv3098c,Rv3098c,paleturquoise,0.777690025,conserved hypotheticals,NA,NA
gene:Rv3098A,Rv3098A,green,0.411810411,"virulence, detoxification, adaptation",NA,NA
gene:Rv3099c,Rv3099c,blue,0.518156442,conserved hypotheticals,NA,NA
gene:Rv3100c,smpB,orangered4,0.981491355,"virulence, detoxification, adaptation",protein modification process,RNA binding
gene:Rv3101c,ftsX,orangered4,0.964320443,cell wall and cell processes,NA,NA
gene:Rv3102c,ftsE,steelblue,0.89518102,cell wall and cell processes,transmembrane transport,"hydrolase activity, transmembrane transport, transporter activity"
gene:Rv3103c,Rv3103c,darkgrey,0.803615326,conserved hypotheticals,NA,NA
gene:Rv3104c,Rv3104c,darkorange,0.901399796,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv3105c,prfB,darkorange,0.731360815,information pathways,NA,translation regulator activity
gene:Rv3106,fprA,turquoise,0.047284717,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv3107c,agpS,darkgreen,0.86606106,lipid metabolism,NA,oxidoreductase activity
gene:Rv3108,Rv3108,black,0.469784038,conserved hypotheticals,NA,NA
gene:Rv3109,moaA1,black,0.298063943,intermediary metabolism and respiration,NA,lyase activity
gene:Rv3110,moaB1,purple,0.154294319,intermediary metabolism and respiration,NA,lyase activity
gene:Rv3111,moaC1,salmon,0.428105372,intermediary metabolism and respiration,NA,lyase activity
gene:Rv3112,moaD1,salmon,0.502050951,intermediary metabolism and respiration,NA,NA
gene:Rv3113,Rv3113,salmon,0.352539288,intermediary metabolism and respiration,DNA repair,hydrolase activity
gene:Rv3114,Rv3114,salmon,0.428664854,conserved hypotheticals,NA,NA
gene:Rv3115,Rv3115,lightcyan,0.204335766,insertion seqs and phages,NA,NA
gene:Rv3116,moeB2,black,0.727325096,intermediary metabolism and respiration,NA,"transferase activity, catalytic activity, acting on a protein, ligase activity"
gene:Rv3117,cysA3,steelblue,0.872725503,intermediary metabolism and respiration,NA,NA
gene:Rv3118,Rv3118,black,0.535834877,NULL,NA,NA
gene:Rv3119,moaE1,blue,0.702712474,intermediary metabolism and respiration,NA,transferase activity
gene:Rv3120,Rv3120,blue,0.8104449,conserved hypotheticals,NA,NA
gene:Rv3121,cyp141,blue,0.714789523,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv3122,Rv3122,magenta,0.72669198,conserved hypotheticals,NA,NA
gene:Rv3123,Rv3123,brown,0.712881094,conserved hypotheticals,NA,NA
gene:Rv3124,moaR1,turquoise,0.782651235,regulatory proteins,"regulation of transcription, DNA-templated, signaling, intracellular",DNA binding
gene:Rv3125c,PPE49,blue,0.025795673,PE/PPE,NA,NA
gene:Rv3126c,Rv3126c,cyan,0.852014688,conserved hypotheticals,NA,NA
gene:Rv3127,Rv3127,cyan,0.885812805,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv3129,Rv3129,turquoise,0.531982736,conserved hypotheticals,NA,NA
gene:Rv3130c,tgs1,cyan,0.956805421,lipid metabolism,"lipid metabolic process, carbohydrate metabolic process",transferase activity
gene:Rv3131,Rv3131,cyan,0.897398725,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv3132c,devS,cyan,0.760447014,regulatory proteins,"protein modification process, signaling, intracellular","catalytic activity, acting on a protein, transferase activity, small molecule sensor activity, protein modification process, signaling"
gene:Rv3133c,devR,cyan,0.843619676,regulatory proteins,"regulation of transcription, DNA-templated, signaling, intracellular","DNA binding, regulation of transcription, DNA-templated"
gene:Rv3134c,Rv3134c,cyan,0.835402896,"virulence, detoxification, adaptation",NA,NA
gene:Rv3135,PPE50,magenta,0.310294333,PE/PPE,NA,NA
gene:Rv3136,PPE51,magenta,0.332864132,PE/PPE,NA,NA
gene:Rv3136A,Rv3136A,green,0.81304935,conserved hypotheticals,NA,NA
gene:Rv3137,Rv3137,tan,0.608851121,intermediary metabolism and respiration,NA,NA
gene:Rv3138,pflA,darkolivegreen,0.732716138,intermediary metabolism and respiration,NA,"transferase activity, lyase activity"
gene:Rv3139,fadE24,violet,0.67736914,lipid metabolism,NA,oxidoreductase activity
gene:Rv3140,fadE23,darkred,0.657764631,lipid metabolism,NA,oxidoreductase activity
gene:Rv3141,fadB4,brown,0.461214817,lipid metabolism,NA,oxidoreductase activity
gene:Rv3142c,Rv3142c,lightcyan1,0.657242381,conserved hypotheticals,NA,NA
gene:Rv3143,Rv3143,skyblue,0.851476435,regulatory proteins,"signaling, intracellular",NA
gene:Rv3144c,PPE52,orange,0.778539566,PE/PPE,NA,NA
